"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J10,J6,J3,J9,J7,J5,J4,J1";"PinHeader_1x04_P2.54mm_Vertical";8;"Conn_01x04";;;
2;"J14,J12,J11,J8";"PinHeader_1x05_P2.54mm_Vertical";4;"Conn_01x05";;;
3;"A1,A3,A2";"Pololu_Breakout-20_15.2x20.3mm";3;"Pololu_Breakout_TMC5160";;;
4;"C3,C2,C1,C49,C19,C30";"CP_Elec_6.3x7.7";6;"47uF";;;
5;"C31";"C_0805_2012Metric";1;"10uF";;;
6;"U3";"MUB_v1";1;"MUBv1";;;
7;"U2,U1";"QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm";2;"TMC2041-LA";;;
8;"J2";"691313710002";1;"691313710002";;;
9;"G***";"smol_logo";1;"LOGO";;;
10;"G***";"logo";1;"LOGO";;;
11;"R12,R11,R10,R9,R7,R6,R5,R4";"R_0805_2012Metric";8;"0R2";;;
12;"R8,R3";"R_0603_1608Metric";2;"2R2";;;
13;"C50,C42,C27,C22,C21,C20,C18,C17,C13,C12";"C_0603_1608Metric";10;"100nF";;;
14;"C26,C16";"C_0603_1608Metric";2;"22nF";;;
15;"C24,C15";"C_0603_1608Metric";2;"470nF";;;
16;"C23,C14";"C_1206_3216Metric";2;"2.2uF";;;
17;"J22";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
18;"J16,J15";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
19;"J20,J19,J18,J17";"MountingHole_2.7mm_M2.5_DIN965_Pad";4;"Hole";;;
20;"J13";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10";;;
